school_name,team_name,conference,logo_filename,logo_source_url
Fairfield Stags,Fairfield Stags,,fairfield_stags.png,https://a.espncdn.com/i/teamlogos/ncaa/500/2217.png
Iona Gaels,Iona Gaels,,iona_gaels.png,https://a.espncdn.com/i/teamlogos/ncaa/500/314.png
Manhattan Jaspers,Manhattan Jaspers,,manhattan_jaspers.png,https://a.espncdn.com/i/teamlogos/ncaa/500/2363.png
Marist Red Foxes,Marist Red Foxes,,marist_red_foxes.png,https://a.espncdn.com/i/teamlogos/ncaa/500/2368.png
Merrimack Warriors,Merrimack Warriors,,merrimack_warriors.png,https://a.espncdn.com/i/teamlogos/ncaa/500/2771.png
Mount St. Mary's Mountaineers,Mount St. Mary's Mountaineers,,mount_st_marys_mountaineers.png,https://a.espncdn.com/i/teamlogos/ncaa/500/116.png
Niagara Purple Eagles,Niagara Purple Eagles,,niagara_purple_eagles.png,https://a.espncdn.com/i/teamlogos/ncaa/500/315.png
Quinnipiac Bobcats,Quinnipiac Bobcats,,quinnipiac_bobcats.png,https://a.espncdn.com/i/teamlogos/ncaa/500/2514.png
Rider Broncs,Rider Broncs,,rider_broncs.png,https://a.espncdn.com/i/teamlogos/ncaa/500/2520.png
Sacred Heart Pioneers,Sacred Heart Pioneers,,sacred_heart_pioneers.png,https://a.espncdn.com/i/teamlogos/ncaa/500/2529.png
Saint Peter's Peacocks,Saint Peter's Peacocks,,saint_peters_peacocks.png,https://a.espncdn.com/i/teamlogos/ncaa/500/2612.png
Siena Saints,Siena Saints,,siena_saints.png,https://a.espncdn.com/i/teamlogos/ncaa/500/2561.png
Coppin State Eagles,Coppin State Eagles,,coppin_state_eagles.png,https://a.espncdn.com/i/teamlogos/ncaa/500/2154.png
Delaware State Hornets,Delaware State Hornets,,delaware_state_hornets.png,https://a.espncdn.com/i/teamlogos/ncaa/500/2169.png
Howard Bison,Howard Bison,,howard_bison.png,https://a.espncdn.com/i/teamlogos/ncaa/500/47.png
Maryland Eastern Shore Hawks,Maryland Eastern Shore Hawks,,maryland_eastern_shore_hawks.png,https://a.espncdn.com/i/teamlogos/ncaa/500/2379.png
Morgan State Bears,Morgan State Bears,,morgan_state_bears.png,https://a.espncdn.com/i/teamlogos/ncaa/500/2415.png
Norfolk State Spartans,Norfolk State Spartans,,norfolk_state_spartans.png,https://a.espncdn.com/i/teamlogos/ncaa/500/2450.png
North Carolina Central Eagles,North Carolina Central Eagles,,north_carolina_central_eagles.png,https://a.espncdn.com/i/teamlogos/ncaa/500/2428.png
South Carolina State Bulldogs,South Carolina State Bulldogs,,south_carolina_state_bulldogs.png,https://a.espncdn.com/i/teamlogos/ncaa/500/2569.png
Akron Zips,Akron Zips,,akron_zips.png,https://a.espncdn.com/i/teamlogos/ncaa/500/2006.png
